MAPPED_TRAIT_URI	MAPPED_TRAIT	SNPS	STUDY	LINK
http://www.ebi.ac.uk/efo/EFO_0006336	diastolic blood pressure	rs12461016	Novel Blood Pressure Locus and Gene Discovery Using Genome-Wide Association Study and Expression Data Sets From Blood and the Kidney.	www.ncbi.nlm.nih.gov/pubmed/28739976
http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	rs926340	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_0008226	MAP kinase-activated protein kinase 3 measurement	rs9534338	Connecting genetic risk to disease end points through the human blood plasma proteome.	www.ncbi.nlm.nih.gov/pubmed/28240269
http://www.ebi.ac.uk/efo/EFO_0004191	androgenetic alopecia	rs7974517	Detection and interpretation of shared genetic influences on 42 human traits.	www.ncbi.nlm.nih.gov/pubmed/27182965
http://www.ebi.ac.uk/efo/EFO_0007922, http://www.ebi.ac.uk/efo/EFO_0004682	response to sulfonylurea, QT interval	rs9966832	Large-scale pharmacogenomic study of sulfonylureas and the QT, JT and QRS intervals: CHARGE Pharmacogenomics Working Group.	www.ncbi.nlm.nih.gov/pubmed/27958378
http://www.ebi.ac.uk/efo/EFO_0005193	serum IgG glycosylation measurement	rs11847263	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	www.ncbi.nlm.nih.gov/pubmed/23382691
http://www.ebi.ac.uk/efo/EFO_0006821, http://www.ebi.ac.uk/efo/EFO_0006826	trans fatty acid measurement, trans/trans-18:2 fatty acid measurement	rs7181696	Genetic loci associated with circulating phospholipid trans fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.	www.ncbi.nlm.nih.gov/pubmed/25646338
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs9292468	Genome-wide meta-analysis identifies 11 new loci for anthropometric traits and provides insights into genetic architecture.	www.ncbi.nlm.nih.gov/pubmed/23563607
http://www.ebi.ac.uk/efo/EFO_0005055, http://www.ebi.ac.uk/efo/EFO_0005530	QRS duration, Trypanosoma cruzi seropositivity	rs11012167	Genome wide association study (GWAS) of Chagas cardiomyopathy in Trypanosoma cruzi seropositive subjects.	www.ncbi.nlm.nih.gov/pubmed/24324551
http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	intelligence, self reported educational attainment	rs11191270	A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.	www.ncbi.nlm.nih.gov/pubmed/29326435
http://www.ebi.ac.uk/efo/EFO_0006937	optic disc area measurement	rs9860250	Meta-analysis of Genome-Wide Association Studies Identifies Novel Loci Associated With Optic Disc Morphology.	www.ncbi.nlm.nih.gov/pubmed/25631615
http://www.ebi.ac.uk/efo/EFO_0007984	platelet distribution width	rs117672662	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004308	leukocyte count	rs7934719	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0004833	neutrophil count	rs11104881	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0000384	Crohn's disease	rs3828309	Genome-wide association defines more than 30 distinct susceptibility loci for Crohn's disease.	www.ncbi.nlm.nih.gov/pubmed/18587394
http://www.ebi.ac.uk/efo/EFO_0004527	mean corpuscular hemoglobin	rs6147862	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0003785	allergy	rs4908769	Detection and interpretation of shared genetic influences on 42 human traits.	www.ncbi.nlm.nih.gov/pubmed/27182965
http://www.ebi.ac.uk/efo/EFO_0008240	N-acylethanolamine-hydrolyzing acid amidase measurement	rs1513890	Connecting genetic risk to disease end points through the human blood plasma proteome.	www.ncbi.nlm.nih.gov/pubmed/28240269
http://www.ebi.ac.uk/efo/EFO_0004611	low density lipoprotein cholesterol measurement	rs546498715	Common, low-frequency, and rare genetic variants associated with lipoprotein subclasses and triglyceride measures in Finnish men from the METSIM study.	www.ncbi.nlm.nih.gov/pubmed/29084231
http://www.orpha.net/ORDO/Orphanet_141136	Hemifacial microsomia	rs754423	Genome-wide association study identifies multiple susceptibility loci for craniofacial microsomia.	www.ncbi.nlm.nih.gov/pubmed/26853712
http://www.ebi.ac.uk/efo/EFO_0002618	pancreatic carcinoma	rs2736098	Genome-wide association study identifies multiple susceptibility loci for pancreatic cancer.	www.ncbi.nlm.nih.gov/pubmed/25086665
http://www.ebi.ac.uk/efo/EFO_0004229	Dupuytren Contracture	rs2598107	A Genome-wide Association Study of Dupuytren Disease Reveals 17 Additional Variants Implicated in Fibrosis.	www.ncbi.nlm.nih.gov/pubmed/28886342
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs3757322	Identification of ten variants associated with risk of estrogen-receptor-negative breast cancer.	www.ncbi.nlm.nih.gov/pubmed/29058716
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs11614913	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence	rs9556711	A quantitative-trait genome-wide association study of alcoholism risk in the community: findings and implications.	www.ncbi.nlm.nih.gov/pubmed/21529783
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs1004234	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0004339	body height	rs1950500	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	www.ncbi.nlm.nih.gov/pubmed/20881960
http://www.ebi.ac.uk/efo/EFO_0005301	reading and spelling ability	rs479526	A genome-wide association study for reading and language abilities in two population cohorts.	www.ncbi.nlm.nih.gov/pubmed/23738518
http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_1000654	breast carcinoma, childhood cancer	rs114971217	Genome-Wide Association Study to Identify Susceptibility Loci That Modify Radiation-Related Risk for Breast Cancer After Childhood Cancer.	www.ncbi.nlm.nih.gov/pubmed/29059430
http://www.ebi.ac.uk/efo/EFO_0008403	susceptibility to mononucleosis measurement	rs201049390	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0001360	type II diabetes mellitus	rs6506284	First genome-wide association study in an Australian aboriginal population provides insights into genetic risk factors for body mass index and type 2 diabetes.	www.ncbi.nlm.nih.gov/pubmed/25760438
http://www.ebi.ac.uk/efo/EFO_0003923	bone density	rs4609139	Meta-analysis of genome-wide scans for total body BMD in children and adults reveals allelic heterogeneity and age-specific effects at the WNT16 locus.	www.ncbi.nlm.nih.gov/pubmed/22792070
http://www.ebi.ac.uk/efo/EFO_0006501	carotid plaque build	rs60454790	Genome-wide meta-analysis identifies novel loci of plaque burden in carotid artery.	www.ncbi.nlm.nih.gov/pubmed/28282560
http://www.ebi.ac.uk/efo/EFO_0005131	HVA measurement	rs3795958	Genome-wide association study of monoamine metabolite levels in human cerebrospinal fluid.	www.ncbi.nlm.nih.gov/pubmed/23319000
http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	rs11144217	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	rs28541881	Bayesian and frequentist analysis of an Austrian genome-wide association study of colorectal cancer and advanced adenomas.	www.ncbi.nlm.nih.gov/pubmed/29228715
http://www.ebi.ac.uk/efo/EFO_0004229	Dupuytren Contracture	rs1032466	A Genome-wide Association Study of Dupuytren Disease Reveals 17 Additional Variants Implicated in Fibrosis.	www.ncbi.nlm.nih.gov/pubmed/28886342
http://www.ebi.ac.uk/efo/EFO_0000253	amyotrophic lateral sclerosis	rs1488902	Chromosome 9p21 in sporadic amyotrophic lateral sclerosis in the UK and seven other countries: a genome-wide association study.	www.ncbi.nlm.nih.gov/pubmed/20801717
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs13077913	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0004695	intraocular pressure measurement	rs118149273	Genome-Wide Association Analyses Identify New Loci Influencing Intraocular Pressure.	www.ncbi.nlm.nih.gov/pubmed/29617998
http://www.ebi.ac.uk/efo/EFO_0006796	very long-chain saturated fatty acid measurement	rs11745512	Genetic loci associated with circulating levels of very long-chain saturated fatty acids.	www.ncbi.nlm.nih.gov/pubmed/25378659
http://www.ebi.ac.uk/efo/EFO_0008400	susceptibility to chickenpox measurement	rs7024375	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0007621	bone mineral content measurement	rs149737732	A Genomewide Association Study Identifies Two Sex-Specific Loci, at SPTB and IZUMO3, Influencing Pediatric Bone Mineral Density at Multiple Skeletal Sites.	www.ncbi.nlm.nih.gov/pubmed/28181694
http://www.ebi.ac.uk/efo/EFO_0004980	appendicular lean mass	rs2287926	Large meta-analysis of genome-wide association studies identifies five loci for lean body mass.	www.ncbi.nlm.nih.gov/pubmed/28724990
http://www.ebi.ac.uk/efo/EFO_0000756	melanoma	rs1722784	Genome-wide association study identifies novel loci predisposing to cutaneous melanoma.	www.ncbi.nlm.nih.gov/pubmed/21926416
http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0007788	smoking behavior, BMI-adjusted waist-hip ratio	rs30000	Genome-wide meta-analysis of 241,258 adults accounting for smoking behaviour identifies novel loci for obesity traits.	www.ncbi.nlm.nih.gov/pubmed/28443625
http://www.ebi.ac.uk/efo/EFO_0007014, http://www.ebi.ac.uk/efo/EFO_0004319	3-hydroxypropylmercapturic acid measurement, smoking cessation	rs11886159	Mercapturic Acids Derived from the Toxicants Acrolein and Crotonaldehyde in the Urine of Cigarette Smokers from Five Ethnic Groups with Differing Risks for Lung Cancer.	www.ncbi.nlm.nih.gov/pubmed/26053186
http://www.ebi.ac.uk/efo/EFO_0002508	Parkinson's disease	rs3129882	Identification of a novel Parkinson's disease locus via stratified genome-wide association study.	www.ncbi.nlm.nih.gov/pubmed/24511991
http://www.ebi.ac.uk/efo/EFO_0003898, http://www.ebi.ac.uk/efo/EFO_0000676, http://www.ebi.ac.uk/efo/EFO_0000729, http://www.ebi.ac.uk/efo/EFO_0000384, http://www.ebi.ac.uk/efo/EFO_0004268	ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis	rs6781808	Analysis of five chronic inflammatory diseases identifies 27 new associations and highlights disease-specific patterns at shared loci.	www.ncbi.nlm.nih.gov/pubmed/26974007
http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	waist-hip ratio, body mass index	rs3805389	New genetic loci link adipose and insulin biology to body fat distribution.	www.ncbi.nlm.nih.gov/pubmed/25673412
http://www.ebi.ac.uk/efo/EFO_0004462	PR interval	rs251253	Genome-wide association study of PR interval.	www.ncbi.nlm.nih.gov/pubmed/20062060
http://www.ebi.ac.uk/efo/EFO_0007988	myeloid white cell count	rs11741826	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	www.ncbi.nlm.nih.gov/pubmed/27863252
http://www.ebi.ac.uk/efo/EFO_0006501	carotid plaque build	rs187708125	Genome-wide meta-analysis identifies novel loci of plaque burden in carotid artery.	www.ncbi.nlm.nih.gov/pubmed/28282560
http://www.ebi.ac.uk/efo/EFO_0003892, http://www.ebi.ac.uk/efo/EFO_0005671, http://www.ebi.ac.uk/efo/EFO_0004713	pulmonary function measurement, smoking behaviour measurement, FEV/FEC ratio	rs2070600	Genome-wide joint meta-analysis of SNP and SNP-by-smoking interaction identifies novel loci for pulmonary function.	www.ncbi.nlm.nih.gov/pubmed/23284291
http://www.ebi.ac.uk/efo/EFO_0004570	bilirubin measurement	rs6742078	Genome-wide association of serum bilirubin levels in Korean population.	www.ncbi.nlm.nih.gov/pubmed/20639394
http://www.ebi.ac.uk/efo/EFO_0004766	subcutaneous adipose tissue measurement	rs12629805	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	www.ncbi.nlm.nih.gov/pubmed/22589738
http://www.ebi.ac.uk/efo/EFO_0008130	fibroblast growth factor basic measurement	rs145577605	Genome-wide Association Study Identifies 27 Loci Influencing Concentrations of Circulating Cytokines and Growth Factors.	www.ncbi.nlm.nih.gov/pubmed/27989323
http://www.ebi.ac.uk/efo/EFO_0007796	parental longevity	rs58241453	Human longevity is influenced by many genetic variants: evidence from 75,000 UK Biobank participants.	www.ncbi.nlm.nih.gov/pubmed/27015805
http://www.ebi.ac.uk/efo/EFO_0007874	gut microbiome measurement	rs650258	The effect of host genetics on the gut microbiome.	www.ncbi.nlm.nih.gov/pubmed/27694959
http://www.ebi.ac.uk/efo/EFO_0003959	cleft lip	rs7078160	Genome-wide association study identifies two susceptibility loci for nonsyndromic cleft lip with or without cleft palate.	www.ncbi.nlm.nih.gov/pubmed/20023658
http://www.ebi.ac.uk/efo/EFO_0003761	unipolar depression	rs9648182	Genome-wide meta-analyses of stratified depression in Generation Scotland and UK Biobank.	www.ncbi.nlm.nih.gov/pubmed/29317602
http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0004713	response to bronchodilator, FEV/FEC ratio	rs8042238	A genome-wide association study identifies risk loci for spirometric measures among smokers of European and African ancestry.	www.ncbi.nlm.nih.gov/pubmed/26634245
http://www.ebi.ac.uk/efo/EFO_0008408	susceptibility to strep throat measurement	rs115146346	Genome-wide association and HLA region fine-mapping studies identify susceptibility loci for multiple common infections.	www.ncbi.nlm.nih.gov/pubmed/28928442
http://www.ebi.ac.uk/efo/EFO_0007789, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist circumference, physical activity measurement	rs4800452	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0001359	type I diabetes mellitus	rs653178	Fine mapping of type 1 diabetes susceptibility loci and evidence for colocalization of causal variants with lymphoid gene enhancers.	www.ncbi.nlm.nih.gov/pubmed/25751624
http://www.ebi.ac.uk/efo/EFO_0000341, http://www.ebi.ac.uk/efo/EFO_0005670	chronic obstructive pulmonary disease, smoking initiation	rs11242496	Genome-wide association study of smoking behaviours in patients with COPD.	www.ncbi.nlm.nih.gov/pubmed/21685187
http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008002	BMI-adjusted waist-hip ratio, physical activity measurement	rs10804591	Genome-wide physical activity interactions in adiposity - A meta-analysis of 200,452 adults.	www.ncbi.nlm.nih.gov/pubmed/28448500
http://www.ebi.ac.uk/efo/EFO_0003047, http://www.ebi.ac.uk/efo/EFO_0001422	hepatitis C infection, cirrhosis of liver	rs7800244	Genome-wide association study identifies variants associated with progression of liver fibrosis from HCV infection.	www.ncbi.nlm.nih.gov/pubmed/22841784
http://www.ebi.ac.uk/efo/EFO_0000305	breast carcinoma	rs1230666	Association analysis identifies 65 new breast cancer risk loci.	www.ncbi.nlm.nih.gov/pubmed/29059683
http://purl.obolibrary.org/obo/GO_1902522, http://purl.obolibrary.org/obo/GO_0097327	response to epirubicin, response to antineoplastic agent	rs1553091	Genome-wide association study of chemotherapeutic agent-induced severe neutropenia/leucopenia for patients in Biobank Japan.	www.ncbi.nlm.nih.gov/pubmed/23648065
